entry_id,self_accession,parent_accession
409,JGAP00000000001,JGAC00000000001
409,JGAS00000000077,
410,JGAP00000000001,JGAC00000000001
411,JGAD00000000077,JGAP00000000001
411,JGAP00000000001,JGAC00000000001
411,JGAS00000000077,
412,JGAD00000000264,JGAP00000000001
412,JGAP00000000001,JGAC00000000001
412,JGAS00000000182,
413,JGAD00000000257,JGAP00000000001
413,JGAD00000000258,JGAP00000000001
413,JGAP00000000001,JGAC00000000001
413,JGAS00000000177,
414,JGAD00000000220,JGAP00000000001
414,JGAP00000000001,JGAC00000000001
414,JGAS00000000114,
415,JGAD00000000290,JGAP00000000001
415,JGAP00000000001,JGAC00000000001
415,JGAS00000000205,
416,JGAP00000000001,JGAC00000000001
417,JGAP00000000001,JGAC00000000001
419,JGAD00000000288,JGAP00000000001
419,JGAP00000000001,JGAC00000000001
419,JGAS00000000203,
420,JGAD00000000290,JGAP00000000001
420,JGAP00000000001,JGAC00000000001
420,JGAS00000000205,
421,JGAD00000000292,JGAP00000000001
421,JGAP00000000001,JGAC00000000001
421,JGAS00000000207,
422,JGAP00000000001,JGAC00000000001
424,JGAS00000000199,
425,JGAD00000000284,JGAP00000000001
425,JGAP00000000001,JGAC00000000001
425,JGAS00000000199,
426,JGAP00000000001,JGAC00000000001
427,JGAP00000000001,JGAC00000000001
428,JGAP00000000001,JGAC00000000001
429,JGAD00000000290,JGAP00000000001
429,JGAP00000000001,JGAC00000000001
429,JGAS00000000205,
430,JGAD00000000277,JGAP00000000001
430,JGAP00000000001,JGAC00000000001
430,JGAS00000000194,
431,JGAD00000000292,JGAP00000000001
431,JGAP00000000001,JGAC00000000001
431,JGAS00000000207,
432,JGAP00000000001,JGAC00000000001
433,JGAP00000000001,JGAC00000000001
434,JGAP00000000001,JGAC00000000001
435,JGAP00000000003,JGAC00000000001
436,JGAD00000000284,JGAP00000000001
436,JGAP00000000001,JGAC00000000001
436,JGAS00000000199,
437,JGAP00000000001,JGAC00000000001
438,JGAP00000000003,JGAC00000000001
439,JGAD00000000300,JGAP00000000001
439,JGAP00000000001,JGAC00000000001
439,JGAS00000000214,
440,JGAP00000000001,JGAC00000000001
441,JGAD00000000221,JGAP00000000001
441,JGAP00000000001,JGAC00000000001
441,JGAS00000000147,
442,JGAP00000000001,JGAC00000000001
443,JGAD00000000300,JGAP00000000001
443,JGAP00000000001,JGAC00000000001
443,JGAS00000000214,
444,JGAS00000000065,
445,JGAD00000000302,JGAP00000000001
445,JGAP00000000001,JGAC00000000001
445,JGAS00000000216,
446,JGAP00000000001,JGAC00000000001
446,JGAS00000000065,
447,JGAD00000000302,JGAP00000000001
447,JGAP00000000001,JGAC00000000001
447,JGAS00000000216,
448,JGAP00000000001,JGAC00000000001
449,JGAD00000000302,JGAP00000000001
449,JGAP00000000001,JGAC00000000001
449,JGAS00000000216,
450,JGAP00000000001,JGAC00000000001
451,JGAP00000000001,JGAC00000000001
452,JGAP00000000001,JGAC00000000001
