entry_id,self_accession,parent_accession
164,JGAP000004,JGAC000001
165,JGAP000004,JGAC000001
166,JGAP000004,JGAC000001
167,JGAP000004,JGAC000001
168,JGAP000004,JGAC000001
169,JGAP000001,JGAC000001
171,JGAP000001,JGAC000001
172,JGAP000001,JGAC000001
173,JGAP000004,JGAC000001
174,JGAP000001,JGAC000001
175,JGAP000001,JGAC000001
176,JGAP000001,JGAC000001
177,JGAP000004,JGAC000001
178,JGAP000001,JGAC000001
179,JGAP000006,JGAC000001
180,JGAP000009,JGAC000001
181,JGAP000006,JGAC000001
182,JGAP000001,JGAC000001
182,JGAP000004,JGAC000001
183,JGAP000004,JGAC000001
184,JGAP000001,JGAC000001
185,JGAP000001,JGAC000001
186,JGAP000001,JGAC000001
186,JGAP000004,JGAC000001
187,JGAP000001,JGAC000001
188,JGAP000001,JGAC000001
189,JGAP000004,JGAC000001
190,JGAP000004,JGAC000001
191,JGAP000004,JGAC000001
192,JGAP000001,JGAC000001
193,JGAP000001,JGAC000001
193,JGAP000004,JGAC000001
194,JGAP000001,JGAC000001
195,JGAP000001,JGAC000001
196,JGAP000003,JGAC000001
197,JGAP000004,JGAC000001
198,JGAP000004,JGAC000001
199,JGAP000001,JGAC000001
200,JGAP000001,JGAC000001
201,JGAP000004,JGAC000001
202,JGAP000001,JGAC000001
202,JGAP000008,JGAC000001
203,JGAP000001,JGAC000001
204,JGAP000001,JGAC000001
205,JGAP000001,JGAC000001
206,JGAP000001,JGAC000001
207,JGAP000007,JGAC000001
208,JGAP000001,JGAC000001
209,JGAP000001,JGAC000001
210,JGAP000001,JGAC000001
211,JGAP000001,JGAC000001
212,JGAP000001,JGAC000001
213,JGAP000001,JGAC000001
216,JGAP000001,JGAC000001
218,JGAP000004,JGAC000001
220,JGAP000001,JGAC000001
220,JGAP000003,JGAC000001
221,JGAP000004,JGAC000001
222,JGAP000004,JGAC000001
223,JGAP000003,JGAC000001
224,JGAP000001,JGAC000001
225,JGAP000001,JGAC000001
226,JGAP000001,JGAC000001
227,JGAP000001,JGAC000001
228,JGAP000001,JGAC000001
229,JGAP000001,JGAC000001
230,JGAP000001,JGAC000001
231,JGAP000003,JGAC000001
232,JGAP000003,JGAC000001
233,JGAP000001,JGAC000001
233,JGAP000003,JGAC000001
234,JGAP000001,JGAC000001
234,JGAP000003,JGAC000001
235,JGAP000001,JGAC000001
236,JGAP000001,JGAC000001
237,JGAP000001,JGAC000001
238,JGAP000001,JGAC000001
239,JGAP000001,JGAC000001
240,JGAP000001,JGAC000001
241,JGAP000004,JGAC000001
242,JGAP000001,JGAC000001
243,JGAP000001,JGAC000001
244,JGAP000003,JGAC000001
245,JGAP000001,JGAC000001
246,JGAP000001,JGAC000001
247,JGAP000001,JGAC000001
248,JGAP000001,JGAC000001
249,JGAP000004,JGAC000001
250,JGAP000004,JGAC000001
251,JGAP000004,JGAC000001
252,JGAP000004,JGAC000001
253,JGAP000001,JGAC000001
254,JGAP000001,JGAC000001
255,JGAP000001,JGAC000001
256,JGAP000001,JGAC000001
257,JGAP000001,JGAC000001
258,JGAP000001,JGAC000001
258,JGAP000003,JGAC000001
259,JGAP000004,JGAC000001
260,JGAP000004,JGAC000001
263,JGAP000001,JGAC000001
264,JGAP000001,JGAC000001
265,JGAP000001,JGAC000001
265,JGAP000003,JGAC000001
266,JGAP000001,JGAC000001
266,JGAP000003,JGAC000001
267,JGAP000001,JGAC000001
268,JGAP000001,JGAC000001
269,JGAP000001,JGAC000001
270,JGAP000001,JGAC000001
271,JGAP000001,JGAC000001
272,JGAP000009,JGAC000001
273,JGAP000001,JGAC000001
274,JGAP000001,JGAC000001
276,JGAP000001,JGAC000001
277,JGAP000001,JGAC000001
278,JGAP000001,JGAC000001
279,JGAP000001,JGAC000001
280,JGAP000001,JGAC000001
281,JGAP000001,JGAC000001
282,JGAP000001,JGAC000001
283,JGAP000001,JGAC000001
284,JGAP000001,JGAC000001
285,JGAP000001,JGAC000001
286,JGAP000001,JGAC000001
287,JGAP000001,JGAC000001
288,JGAP000001,JGAC000001
289,JGAP000001,JGAC000001
290,JGAP000001,JGAC000001
291,JGAP000001,JGAC000001
292,JGAP000001,JGAC000001
293,JGAP000001,JGAC000001
294,JGAP000001,JGAC000001
295,JGAP000004,JGAC000001
296,JGAP000001,JGAC000001
297,JGAP000001,JGAC000001
298,JGAP000001,JGAC000001
299,JGAP000001,JGAC000001
300,JGAP000001,JGAC000001
301,JGAP000001,JGAC000001
302,JGAP000001,JGAC000001
303,JGAP000001,JGAC000001
304,JGAP000008,JGAC000001
305,JGAP000001,JGAC000001
307,JGAP000001,JGAC000001
307,JGAP000008,JGAC000001
308,JGAP000001,JGAC000001
309,JGAP000001,JGAC000001
310,JGAP000001,JGAC000001
311,JGAP000001,JGAC000001
312,JGAP000001,JGAC000001
313,JGAP000001,JGAC000001
314,JGAP000001,JGAC000001
315,JGAP000001,JGAC000001
316,JGAP000001,JGAC000001
317,JGAP000001,JGAC000001
318,JGAP000001,JGAC000001
319,JGAP000001,JGAC000001
320,JGAP000001,JGAC000001
321,JGAP000001,JGAC000001
322,JGAP000001,JGAC000001
323,JGAP000001,JGAC000001
324,JGAP000001,JGAC000001
325,JGAP000001,JGAC000001
325,JGAP000003,JGAC000001
326,JGAP000001,JGAC000001
327,JGAP000001,JGAC000001
328,JGAP000001,JGAC000001
330,JGAP000001,JGAC000001
331,JGAP000001,JGAC000001
332,JGAP000003,JGAC000001
333,JGAP000001,JGAC000001
334,JGAP000001,JGAC000001
335,JGAP000001,JGAC000001
336,JGAP000001,JGAC000001
337,JGAP000001,JGAC000001
338,JGAP000001,JGAC000001
339,JGAP000001,JGAC000001
340,JGAP000001,JGAC000001
341,JGAP000001,JGAC000001
342,JGAP000001,JGAC000001
343,JGAP000001,JGAC000001
344,JGAP000001,JGAC000001
345,JGAP000001,JGAC000001
345,JGAP000003,JGAC000001
346,JGAP000001,JGAC000001
346,JGAP000003,JGAC000001
347,JGAP000001,JGAC000001
347,JGAP000003,JGAC000001
348,JGAP000001,JGAC000001
348,JGAP000003,JGAC000001
349,JGAP000001,JGAC000001
350,JGAP000001,JGAC000001
351,JGAP000001,JGAC000001
352,JGAP000001,JGAC000001
353,JGAP000001,JGAC000001
354,JGAP000001,JGAC000001
355,JGAP000001,JGAC000001
356,JGAP000001,JGAC000001
357,JGAP000001,JGAC000001
358,JGAP000001,JGAC000001
359,JGAP000001,JGAC000001
360,JGAP000001,JGAC000001
361,JGAP000001,JGAC000001
362,JGAP000001,JGAC000001
363,JGAP000001,JGAC000001
364,JGAP000001,JGAC000001
365,JGAP000001,JGAC000001
366,JGAP000006,JGAC000001
367,JGAP000001,JGAC000001
368,JGAP000001,JGAC000001
371,JGAP000001,JGAC000001
374,JGAP000001,JGAC000001
375,JGAP000008,JGAC000001
376,JGAP000001,JGAC000001
377,JGAP000001,JGAC000001
378,JGAP000001,JGAC000001
379,JGAP000001,JGAC000001
380,JGAP000001,JGAC000001
381,JGAP000001,JGAC000001
382,JGAP000001,JGAC000001
383,JGAP000001,JGAC000001
384,JGAP000001,JGAC000001
385,JGAP000001,JGAC000001
386,JGAP000001,JGAC000001
387,JGAP000001,JGAC000001
388,JGAP000001,JGAC000001
389,JGAP000001,JGAC000001
390,JGAP000001,JGAC000001
391,JGAP000001,JGAC000001
392,JGAP000001,JGAC000001
393,JGAP000001,JGAC000001
394,JGAP000001,JGAC000001
395,JGAP000001,JGAC000001
396,JGAP000001,JGAC000001
398,JGAP000001,JGAC000001
399,JGAP000001,JGAC000001
400,JGAP000001,JGAC000001
401,JGAP000001,JGAC000001
402,JGAP000001,JGAC000001
403,JGAP000001,JGAC000001
404,JGAP000001,JGAC000001
405,JGAP000001,JGAC000001
406,JGAP000001,JGAC000001
407,JGAP000001,JGAC000001
408,JGAP000001,JGAC000001
