entry_id,self_accession,parent_accession
538,JGAZ000004488,JGAS000232
538,JGAZ000004489,JGAS000232
538,JGAZ000004490,JGAS000232
538,JGAZ000004491,JGAS000232
540,JGAZ000003598,JGAS000232
540,JGAZ000003599,JGAS000232
540,JGAZ000003600,JGAS000232
540,JGAZ000003601,JGAS000232
540,JGAZ000003602,JGAS000232
540,JGAZ000003603,JGAS000232
540,JGAZ000003604,JGAS000232
540,JGAZ000003605,JGAS000232
540,JGAZ000003606,JGAS000232
540,JGAZ000003607,JGAS000232
540,JGAZ000003608,JGAS000232
540,JGAZ000003609,JGAS000232
540,JGAZ000003610,JGAS000232
540,JGAZ000003611,JGAS000232
540,JGAZ000003612,JGAS000232
540,JGAZ000003613,JGAS000232
540,JGAZ000003614,JGAS000232
540,JGAZ000003615,JGAS000232
540,JGAZ000003616,JGAS000232
540,JGAZ000003617,JGAS000232
540,JGAZ000003618,JGAS000232
540,JGAZ000003619,JGAS000232
540,JGAZ000003620,JGAS000232
540,JGAZ000003621,JGAS000232
540,JGAZ000003622,JGAS000232
540,JGAZ000003623,JGAS000232
540,JGAZ000003624,JGAS000232
540,JGAZ000003625,JGAS000232
540,JGAZ000003626,JGAS000232
540,JGAZ000003627,JGAS000232
540,JGAZ000004462,JGAS000232
540,JGAZ000004463,JGAS000232
540,JGAZ000004464,JGAS000232
540,JGAZ000004465,JGAS000232
540,JGAZ000004466,JGAS000232
540,JGAZ000004467,JGAS000232
540,JGAZ000004468,JGAS000232
540,JGAZ000004469,JGAS000232
540,JGAZ000004470,JGAS000232
540,JGAZ000004471,JGAS000232
540,JGAZ000004472,JGAS000232
540,JGAZ000004473,JGAS000232
540,JGAZ000004474,JGAS000232
540,JGAZ000004475,JGAS000232
540,JGAZ000004476,JGAS000232
540,JGAZ000004477,JGAS000232
540,JGAZ000004478,JGAS000232
540,JGAZ000004479,JGAS000232
540,JGAZ000004480,JGAS000232
540,JGAZ000004481,JGAS000232
540,JGAZ000004482,JGAS000232
540,JGAZ000004483,JGAS000232
540,JGAZ000004484,JGAS000232
540,JGAZ000004485,JGAS000232
540,JGAZ000004486,JGAS000232
540,JGAZ000004487,JGAS000232
540,JGAZ000004488,JGAS000232
540,JGAZ000004489,JGAS000232
540,JGAZ000004490,JGAS000232
540,JGAZ000004491,JGAS000232
541,JGAZ000004391,JGAS000239
543,JGAZ000004494,JGAS000220
543,JGAZ000004495,JGAS000220
545,JGAZ000003427,JGAS000220
545,JGAZ000003428,JGAS000220
545,JGAZ000003429,JGAS000220
545,JGAZ000003430,JGAS000220
545,JGAZ000003431,JGAS000220
545,JGAZ000003432,JGAS000220
545,JGAZ000003433,JGAS000220
545,JGAZ000003434,JGAS000220
545,JGAZ000003435,JGAS000220
545,JGAZ000003436,JGAS000220
545,JGAZ000003437,JGAS000220
545,JGAZ000003438,JGAS000220
545,JGAZ000003439,JGAS000220
545,JGAZ000003440,JGAS000220
545,JGAZ000003441,JGAS000220
545,JGAZ000003442,JGAS000220
545,JGAZ000003443,JGAS000220
545,JGAZ000003444,JGAS000220
545,JGAZ000003445,JGAS000220
545,JGAZ000003446,JGAS000220
545,JGAZ000003447,JGAS000220
545,JGAZ000003448,JGAS000220
545,JGAZ000003449,JGAS000220
545,JGAZ000003450,JGAS000220
545,JGAZ000003451,JGAS000220
545,JGAZ000003452,JGAS000220
545,JGAZ000003453,JGAS000220
545,JGAZ000003454,JGAS000220
545,JGAZ000003455,JGAS000220
545,JGAZ000003456,JGAS000220
545,JGAZ000003457,JGAS000220
545,JGAZ000003458,JGAS000220
545,JGAZ000003459,JGAS000220
545,JGAZ000003460,JGAS000220
545,JGAZ000003461,JGAS000220
545,JGAZ000003462,JGAS000220
545,JGAZ000003463,JGAS000220
545,JGAZ000003464,JGAS000220
545,JGAZ000003465,JGAS000220
545,JGAZ000003466,JGAS000220
545,JGAZ000003467,JGAS000220
545,JGAZ000004494,JGAS000220
545,JGAZ000004495,JGAS000220
551,JGAZ000004556,JGAS000253
551,JGAZ000004557,JGAS000253
551,JGAZ000004558,JGAS000253
551,JGAZ000004559,JGAS000253
551,JGAZ000004560,JGAS000253
551,JGAZ000004561,JGAS000253
551,JGAZ000004562,JGAS000253
551,JGAZ000004563,JGAS000253
551,JGAZ000004564,JGAS000253
551,JGAZ000004565,JGAS000253
551,JGAZ000004566,JGAS000253
551,JGAZ000004567,JGAS000253
551,JGAZ000004568,JGAS000253
551,JGAZ000004569,JGAS000253
551,JGAZ000004570,JGAS000253
551,JGAZ000004571,JGAS000253
551,JGAZ000004572,JGAS000253
551,JGAZ000004573,JGAS000253
551,JGAZ000004574,JGAS000253
551,JGAZ000004575,JGAS000253
551,JGAZ000004576,JGAS000253
551,JGAZ000004577,JGAS000253
551,JGAZ000004578,JGAS000253
551,JGAZ000004579,JGAS000253
551,JGAZ000004580,JGAS000253
551,JGAZ000004581,JGAS000253
551,JGAZ000004582,JGAS000253
701,JGAZ000000013,JGAS000009
701,JGAZ000000014,JGAS000009
701,JGAZ000000015,JGAS000009
701,JGAZ000000016,JGAS000009
701,JGAZ000000017,JGAS000009
701,JGAZ000000018,JGAS000009
701,JGAZ000000019,JGAS000009
701,JGAZ000000020,JGAS000009
701,JGAZ000000021,JGAS000009
701,JGAZ000000022,JGAS000009
701,JGAZ000000023,JGAS000009
701,JGAZ000000024,JGAS000009
701,JGAZ000000025,JGAS000009
701,JGAZ000000026,JGAS000009
701,JGAZ000000027,JGAS000009
701,JGAZ000000028,JGAS000009
701,JGAZ000000029,JGAS000009
701,JGAZ000000030,JGAS000009
701,JGAZ000000031,JGAS000009
701,JGAZ000000032,JGAS000009
701,JGAZ000000033,JGAS000009
704,JGAZ000000352,JGAS000004
704,JGAZ000000353,JGAS000004
704,JGAZ000000354,JGAS000004
